,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
5218,23170,15/9-F-11 B,4276.6,0.117,0.12304545,0.151,0.14994858,0.241,0.23882341
5219,23171,15/9-F-11 B,4276.7,0.117,0.120807715,0.154,0.15321665,0.243,0.24019165
5220,23172,15/9-F-11 B,4276.8,0.116,0.11912701,0.158,0.15726034,0.246,0.2416352
5221,23173,15/9-F-11 B,4276.9,0.117,0.11797381,0.162,0.16127045,0.248,0.24288721
5222,23174,15/9-F-11 B,4277.0,0.117,0.11760219,0.158,0.1575797,0.248,0.242919
5223,23175,15/9-F-11 B,4277.1,0.116,0.118214585,0.148,0.14706913,0.247,0.24178337
5224,23176,15/9-F-11 B,4277.2,0.117,0.12102177,0.147,0.1452705,0.245,0.24064235
5225,23177,15/9-F-11 B,4277.3,0.118,0.12247724,0.137,0.13496703,0.244,0.23916262
5226,23178,15/9-F-11 B,4277.4,0.119,0.12316302,0.147,0.14549673,0.244,0.23965155
5227,23179,15/9-F-11 B,4277.5,0.119,0.12141327,0.168,0.16840456,0.245,0.24215683
5228,23180,15/9-F-11 B,4277.6,0.119,0.12220102,0.167,0.16684286,0.245,0.24178502
5229,23181,15/9-F-11 B,4277.7,0.119,0.12517953,0.16,0.15942435,0.242,0.23998027
5230,23182,15/9-F-11 B,4277.8,0.117,0.12746912,0.167,0.1670631,0.239,0.23909287
5231,23183,15/9-F-11 B,4277.9,0.117,0.13007012,0.162,0.16098239,0.235,0.23657596
5232,23184,15/9-F-11 B,4278.0,0.114,0.13118419,0.143,0.14084256,0.234,0.23494884
5233,23185,15/9-F-11 B,4278.1,0.114,0.13524154,0.138,0.13536033,0.231,0.23202586
5234,23186,15/9-F-11 B,4278.2,0.117,0.14132848,0.131,0.1319844,0.227,0.2285192
5235,23187,15/9-F-11 B,4278.3,0.119,0.14735645,0.132,0.12866627,0.223,0.22474605
